x, y, ymin, ymax
0, 13686.304589673207, 13686.304589673207, 13686.304589673207
1, 244122.965641953, 244122.965641953, 244122.965641953
2, 962929.4755877035, 962929.4755877035, 962929.4755877035
3, 1428571.4285714286, 1428571.4285714286, 1428571.4285714286
6, 1817359, 1817359, 1817359
7, 1971146.5294918683, 53737.13432835821, 545373.1343283582
14, 349495.2089281957, 5898507.462686567, 66746268.65671642
21, 180817.39344722853, 472835.8208955224, 6352238.805970149
24, 153707.05244122967, 153707.05244122967, 153707.05244122967
28, 119774.5548882023, 444179.1044776119, 60.29850746268656
30, 108499.095840868, 108499.095840868, 108499.095840868
35, 81548.12300692064, 411940.2985074627, 60.53731343283582
40, 58770.343580470166, 58770.343580470166, 58770.343580470166
42, 20661.49963270131, 425074.6268656717, 55.52238805970149
47, 27190.19146444319, 53725.37313432836, 49.07462686567165
54, 20101.88560873867, 40477.61194029851, 48.23880597014925

